"0","3"
"0","0","0.5"
"0","0.04166667","0.45833333"
"0","0.08333333","0.41666667"
"0","0.125","0.375"
"0","0.16666667","0.33333333"
"0","0.20833333","0.29166667"
"0","0.25","0.25"
"0","0.29166667","0.20833333"
"0","0.33333333","0.16666667"
"0","0.375","0.125"
"0","0.41666667","0.08333333"
"0","0.45833333","0.04166667"
"0","0.5","0"
"0.04166667","0","0.45833333"
"0.04166667","0.04166667","0.41666667"
"0.04166667","0.08333333","0.375"
"0.04166667","0.125","0.33333333"
"0.04166667","0.16666667","0.29166667"
"0.04166667","0.20833333","0.25"
"0.04166667","0.25","0.20833333"
"0.04166667","0.29166667","0.16666667"
"0.04166667","0.33333333","0.125"
"0.04166667","0.375","0.08333333"
"0.04166667","0.41666667","0.04166667"
"0.04166667","0.45833333","0"
"0.08333333","0","0.41666667"
"0.08333333","0.04166667","0.375"
"0.08333333","0.08333333","0.33333333"
"0.08333333","0.125","0.29166667"
"0.08333333","0.16666667","0.25"
"0.08333333","0.20833333","0.20833333"
"0.08333333","0.25","0.16666667"
"0.08333333","0.29166667","0.125"
"0.08333333","0.33333333","0.08333333"
"0.08333333","0.375","0.04166667"
"0.08333333","0.41666667","0"
"0.125","0","0.375"
"0.125","0.04166667","0.33333333"
"0.125","0.08333333","0.29166667"
"0.125","0.125","0.25"
"0.125","0.16666667","0.20833333"
"0.125","0.20833333","0.16666667"
"0.125","0.25","0.125"
"0.125","0.29166667","0.08333333"
"0.125","0.33333333","0.04166667"
"0.125","0.375","0"
"0.16666667","0","0.33333333"
"0.16666667","0.04166667","0.29166667"
"0.16666667","0.08333333","0.25"
"0.16666667","0.125","0.20833333"
"0.16666667","0.16666667","0.16666667"
"0.16666667","0.20833333","0.125"
"0.16666667","0.25","0.08333333"
"0.16666667","0.29166667","0.04166667"
"0.16666667","0.33333333","0"
"0.20833333","0","0.29166667"
"0.20833333","0.04166667","0.25"
"0.20833333","0.08333333","0.20833333"
"0.20833333","0.125","0.16666667"
"0.20833333","0.16666667","0.125"
"0.20833333","0.20833333","0.08333333"
"0.20833333","0.25","0.04166667"
"0.20833333","0.29166667","0"
"0.25","0","0.25"
"0.25","0.04166667","0.20833333"
"0.25","0.08333333","0.16666667"
"0.25","0.125","0.125"
"0.25","0.16666667","0.08333333"
"0.25","0.20833333","0.04166667"
"0.25","0.25","0"
"0.29166667","0","0.20833333"
"0.29166667","0.04166667","0.16666667"
"0.29166667","0.08333333","0.125"
"0.29166667","0.125","0.08333333"
"0.29166667","0.16666667","0.04166667"
"0.29166667","0.20833333","0"
"0.33333333","0","0.16666667"
"0.33333333","0.04166667","0.125"
"0.33333333","0.08333333","0.08333333"
"0.33333333","0.125","0.04166667"
"0.33333333","0.16666667","0"
"0.375","0","0.125"
"0.375","0.04166667","0.08333333"
"0.375","0.08333333","0.04166667"
"0.375","0.125","0"
"0.41666667","0","0.08333333"
"0.41666667","0.04166667","0.04166667"
"0.41666667","0.08333333","0"
"0.45833333","0","0.04166667"
"0.45833333","0.04166667","0"
"0.5","0","0"
