"0","3"
"0.99204972","0.007230161","0.000101515"
"0.569071141","0.13694727","0.012257414"
"0.424910278","0.207293855","0.037434514"
"0.317088694","0.276039627","0.085331428"
"0.214591547","0.424292147","0.117112519"
"0.125186102","0.485331342","0.284446278"
"0.042425896","0.513959989","0.537540203"
"0.020205594","0.506205559","0.686893424"
"0.004733187","0.50890019","0.849808562"
"0.215711912","0.447226849","0.103988028"
"0.266249825","0.352718184","0.091356599"
"0.370538902","0.238346615","0.05972014"
"0.421667045","0.199715484","0.049631677"
"0.520926138","0.156046976","0.021501452"
"0.995000869","0.006592851","0.000097828"
"1","0.005617252","8.685001183e-15"
"1","0.005617252","8.685001183e-15"
"0.291616462","0.257212374","0.236890899"
"0.344179534","0.247118745","0.082483372"
"0.386000632","0.221676936","0.060044898"
"0.442866288","0.208983598","0.02158329"
"0.454402598","0.204586847","0.017761541"
"0.467539871","0.202735294","0.012915341"
"0.473083935","0.200683505","0.011994032"
"0.48913654","0.189834269","0.011172056"
"0.655168623","0.125699911","0.003630266"
