round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
96.0,ACE,BCN,Lanzarote Airport,Barcelona International Airport
103.0,ACE,BGY,Lanzarote Airport,Milan Bergamo Airport
103.0,ACE,BJL,Lanzarote Airport,Banjul International Airport
103.0,ACE,BRS,Lanzarote Airport,Bristol Airport
103.0,ACE,DUB,Lanzarote Airport,Dublin Airport
103.0,ACE,DUB,Lanzarote Airport,Dublin Airport
87.0,ACE,DUB,Lanzarote Airport,Dublin Airport
103.0,ACE,EMA,Lanzarote Airport,East Midlands Airport
115.0,ACE,LGW,Lanzarote Airport,London Gatwick Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
45.0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
89.0,ACE,LUX,Lanzarote Airport,Luxembourg-Findel International Airport
103.0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
115.0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,ACE,MAN,Lanzarote Airport,Manchester Airport
103.0,ACE,ORK,Lanzarote Airport,Cork Airport
103.0,ACE,STN,Lanzarote Airport,London Stansted Airport
45.0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
45.0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
45.0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
45.0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
45.0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
103.0,ACE,VLC,Lanzarote Airport,Valencia Airport
96.0,ACE,VLC,Lanzarote Airport,Valencia Airport
