llegada.iata,salida.iata,totalVuelosEntrantes,totalVuelosSalientes,conectividadSaliente,llegada.airportName,salida.airportName
ACE,BCN,1,152,4353,Lanzarote Airport,Barcelona International Airport
ACE,BGY,1,87,302,Lanzarote Airport,Milan Bergamo Airport
ACE,BRS,1,47,301,Lanzarote Airport,Bristol Airport
ACE,DUB,3,98,4365,Lanzarote Airport,Dublin Airport
ACE,EMA,1,89,43,Lanzarote Airport,East Midlands Airport
ACE,LGW,1,118,1492,Lanzarote Airport,London Gatwick Airport
ACE,LPA,13,68,68,Lanzarote Airport,Gran Canaria Airport
ACE,LUX,1,58,82,Lanzarote Airport,Luxembourg-Findel International Airport
ACE,MAD,2,185,22933,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
ACE,MAN,1,95,1370,Lanzarote Airport,Manchester Airport
ACE,ORK,1,14,9,Lanzarote Airport,Cork Airport
ACE,STN,1,130,1617,Lanzarote Airport,London Stansted Airport
ACE,TFN,5,53,46,Lanzarote Airport,Tenerife Norte Airport
ACE,VLC,2,38,61,Lanzarote Airport,Valencia Airport
