f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,ACE,BCN,Lanzarote Airport,Barcelona International Airport
75332.00229243712,ACE,BGY,Lanzarote Airport,Milan Bergamo Airport
99414.35969636022,ACE,BJL,Lanzarote Airport,Banjul International Airport
92348.87467289517,ACE,BRS,Lanzarote Airport,Bristol Airport
99414.35969636022,ACE,DUB,Lanzarote Airport,Dublin Airport
99414.35969636022,ACE,DUB,Lanzarote Airport,Dublin Airport
83971.35236488677,ACE,DUB,Lanzarote Airport,Dublin Airport
92348.87467289517,ACE,EMA,Lanzarote Airport,East Midlands Airport
103107.96686779558,ACE,LGW,Lanzarote Airport,London Gatwick Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
85901.72828132096,ACE,LUX,Lanzarote Airport,Luxembourg-Findel International Airport
0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
92348.87467289517,ACE,MAN,Lanzarote Airport,Manchester Airport
99414.35969636022,ACE,ORK,Lanzarote Airport,Cork Airport
92348.87467289517,ACE,STN,Lanzarote Airport,London Stansted Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,VLC,Lanzarote Airport,Valencia Airport
0,ACE,VLC,Lanzarote Airport,Valencia Airport
