round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,TRA,AGP,AMS,Málaga Airport,Amsterdam Airport Schiphol
96.0,SAS,AGP,ARN,Málaga Airport,Stockholm-Arlanda Airport
103.0,NAX,AGP,ARN,Málaga Airport,Stockholm-Arlanda Airport
103.0,RYR,AGP,BCN,Málaga Airport,Barcelona International Airport
96.0,VLG,AGP,BCN,Málaga Airport,Barcelona International Airport
87.0,VLG,AGP,BCN,Málaga Airport,Barcelona International Airport
103.0,RYR,AGP,BFS,Málaga Airport,Belfast International Airport
103.0,MAY,AGP,BGY,Málaga Airport,Milan Bergamo Airport
103.0,RYR,AGP,BHX,Málaga Airport,Birmingham International Airport
68.0,VOE,AGP,BIO,Málaga Airport,Bilbao Airport
87.0,VLG,AGP,BIO,Málaga Airport,Bilbao Airport
103.0,RYR,AGP,BLL,Málaga Airport,Billund Airport
72.0,VOE,AGP,BOD,Málaga Airport,Bordeaux-Mérignac Airport
103.0,RYR,AGP,BOH,Málaga Airport,Bournemouth Airport
103.0,RYR,AGP,BRE,Málaga Airport,Bremen Airport
96.0,EZY,AGP,BRS,Málaga Airport,Bristol Airport
103.0,RYR,AGP,BRS,Málaga Airport,Bristol Airport
103.0,RYR,AGP,BRU,Málaga Airport,Brussels Airport
87.0,BEL,AGP,BRU,Málaga Airport,Brussels Airport
103.0,AEA,AGP,CDG,Málaga Airport,Charles de Gaulle International Airport
103.0,AEA,AGP,CDG,Málaga Airport,Charles de Gaulle International Airport
103.0,MAY,AGP,CGN,Málaga Airport,Cologne Bonn Airport
103.0,RAM,AGP,CMN,Málaga Airport,Mohammed V International Airport
96.0,SAS,AGP,CPH,Málaga Airport,Copenhagen Kastrup Airport
103.0,RYR,AGP,CPH,Málaga Airport,Copenhagen Kastrup Airport
103.0,RYR,AGP,CRL,Málaga Airport,Brussels South Charleroi Airport
103.0,RYR,AGP,DUB,Málaga Airport,Dublin Airport
103.0,RYR,AGP,DUB,Málaga Airport,Dublin Airport
87.0,EIN,AGP,DUB,Málaga Airport,Dublin Airport
103.0,RYR,AGP,EDI,Málaga Airport,Edinburgh Airport
103.0,RYR,AGP,EIN,Málaga Airport,Eindhoven Airport
103.0,TRA,AGP,EIN,Málaga Airport,Eindhoven Airport
103.0,RYR,AGP,EMA,Málaga Airport,East Midlands Airport
103.0,RYR,AGP,EMA,Málaga Airport,East Midlands Airport
29.0,AXY,AGP,FAB,Málaga Airport,Farnborough Airport
103.0,MAY,AGP,FCO,Málaga Airport,Leonardo da Vinci–Fiumicino Airport
103.0,MAY,AGP,FKB,Málaga Airport,Karlsruhe Baden-Baden Airport
103.0,MAY,AGP,FRA,Málaga Airport,Frankfurt am Main Airport
96.0,EZY,AGP,GLA,Málaga Airport,Glasgow International Airport
103.0,RYR,AGP,GLA,Málaga Airport,Glasgow International Airport
103.0,RYR,AGP,IBZ,Málaga Airport,Ibiza Airport
115.0,THY,AGP,IST,Málaga Airport,Istanbul Airport
72.0,EJU,AGP,LGW,Málaga Airport,London Gatwick Airport
115.0,EZY,AGP,LGW,Málaga Airport,London Gatwick Airport
87.0,BAW,AGP,LHR,Málaga Airport,London Heathrow Airport
11.0,NJE,AGP,LIS,Málaga Airport,Humberto Delgado Airport (Lisbon Portela Airport)
45.0,WHT,AGP,LIS,Málaga Airport,Humberto Delgado Airport (Lisbon Portela Airport)
87.0,VLG,AGP,LPA,Málaga Airport,Gran Canaria Airport
