f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
69891.73754824481,ALC,ABZ,Alicante International Airport,Aberdeen Dyce Airport
75239.0579856644,ALC,AMS,Alicante International Airport,Amsterdam Airport Schiphol
0,ALC,BCN,Alicante International Airport,Barcelona International Airport
69891.73754824481,ALC,BHX,Alicante International Airport,Birmingham International Airport
0,ALC,BIO,Alicante International Airport,Bilbao Airport
80059.17781657784,ALC,BLL,Alicante International Airport,Billund Airport
76971.28854989892,ALC,BRE,Alicante International Airport,Bremen Airport
65141.813637199055,ALC,BRS,Alicante International Airport,Bristol Airport
69891.73754824481,ALC,BRS,Alicante International Airport,Bristol Airport
75239.0579856644,ALC,BRU,Alicante International Airport,Brussels Airport
46017.081510751705,ALC,BVA,Alicante International Airport,Paris Beauvais Tillé Airport
59034.76860871164,ALC,CWL,Alicante International Airport,Cardiff International Airport
75239.0579856644,ALC,DUB,Alicante International Airport,Dublin Airport
69891.73754824481,ALC,EDI,Alicante International Airport,Edinburgh Airport
75239.0579856644,ALC,EIN,Alicante International Airport,Eindhoven Airport
75239.0579856644,ALC,EIN,Alicante International Airport,Eindhoven Airport
69891.73754824481,ALC,EMA,Alicante International Airport,East Midlands Airport
3392.802793604117,ALC,EMA,Alicante International Airport,East Midlands Airport
76971.28854989892,ALC,FKB,Alicante International Airport,Karlsruhe Baden-Baden Airport
76971.28854989892,ALC,FMM,Alicante International Airport,Memmingen Allgau Airport
65141.813637199055,ALC,GLA,Alicante International Airport,Glasgow International Airport
69891.73754824481,ALC,GLA,Alicante International Airport,Glasgow International Airport
4382.857746737733,ALC,INN,Alicante International Airport,Innsbruck Airport
75239.0579856644,ALC,KUN,Alicante International Airport,Kaunas International Airport
0,ALC,LEI,Alicante International Airport,Almería International Airport
65141.813637199055,ALC,LGW,Alicante International Airport,London Gatwick Airport
59034.76860871164,ALC,LGW,Alicante International Airport,London Gatwick Airport
69891.73754824481,ALC,LGW,Alicante International Airport,London Gatwick Airport
59034.76860871164,ALC,LPL,Alicante International Airport,Liverpool John Lennon Airport
69891.73754824481,ALC,LPL,Alicante International Airport,Liverpool John Lennon Airport
65141.813637199055,ALC,LTN,Alicante International Airport,London Luton Airport
69891.73754824481,ALC,LTN,Alicante International Airport,London Luton Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
65141.813637199055,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,NCL,Alicante International Airport,Newcastle Airport
75239.0579856644,ALC,ORK,Alicante International Airport,Cork Airport
80059.17781657784,ALC,OSL,Alicante International Airport,Oslo Gardermoen Airport
63551.43732769712,ALC,OTP,Alicante International Airport,Henri Coandă International Airport
75239.0579856644,ALC,PED,Alicante International Airport,Pardubice Airport
69891.73754824481,ALC,PIK,Alicante International Airport,Glasgow Prestwick Airport
0,ALC,PMI,Alicante International Airport,Palma De Mallorca Airport
0,ALC,PMI,Alicante International Airport,Palma De Mallorca Airport
65012.38990994303,ALC,RTM,Alicante International Airport,Rotterdam The Hague Airport
0,ALC,SDR,Alicante International Airport,Santander Airport
63551.43732769712,ALC,SOF,Alicante International Airport,Sofia Airport
69891.73754824481,ALC,STN,Alicante International Airport,London Stansted Airport
3392.802793604117,ALC,STN,Alicante International Airport,London Stansted Airport
69891.73754824481,ALC,STN,Alicante International Airport,London Stansted Airport
0,ALC,TFN,Alicante International Airport,Tenerife Norte Airport
0,ALC,VIT,Alicante International Airport,Vitoria/Foronda Airport
80059.17781657784,ALC,VXO,Alicante International Airport,Växjö Kronoberg Airport
