f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,BCN,ACE,Barcelona International Airport,Lanzarote Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,ALC,Barcelona International Airport,Alicante International Airport
71499.939726712,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
82747.12125675658,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
71499.939726712,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
57842.64786880072,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
82064.37729000355,BCN,ARN,Barcelona International Airport,Stockholm-Arlanda Airport
134966.178360535,BCN,AUH,Barcelona International Airport,Abu Dhabi International Airport
62702.27306442916,BCN,BGY,Barcelona International Airport,Milan Bergamo Airport
76866.1947209911,BCN,BHX,Barcelona International Airport,Birmingham International Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
62702.27306442916,BCN,BLQ,Barcelona International Airport,Bologna Guglielmo Marconi Airport
52962.114141799386,BCN,BLQ,Barcelona International Airport,Bologna Guglielmo Marconi Airport
42747.49239186186,BCN,BOD,Barcelona International Airport,Bordeaux-Mérignac Airport
2238.82120546576,BCN,BQH,Barcelona International Airport,London Biggin Hill Airport
64925.81495850704,BCN,BRS,Barcelona International Airport,Bristol Airport
82747.12125675658,BCN,BRU,Barcelona International Airport,Brussels Airport
90780.82234964558,BCN,BRU,Barcelona International Airport,Brussels Airport
42747.49239186186,BCN,BSL,Barcelona International Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
50609.10018806633,BCN,BVA,Barcelona International Airport,Paris Beauvais Tillé Airport
55522.605060694135,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
35377.23508292016,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
35377.23508292016,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
35377.23508292016,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
109308.19366887174,BCN,CGN,Barcelona International Airport,Cologne Bonn Airport
84652.21013453977,BCN,CGN,Barcelona International Airport,Cologne Bonn Airport
74370.84191906572,BCN,CPH,Barcelona International Airport,Copenhagen Kastrup Airport
183971.75502715784,BCN,DOH,Barcelona International Airport,Hamad International Airport
151033.58054631297,BCN,DOH,Barcelona International Airport,Hamad International Airport
151033.58054631297,BCN,DOH,Barcelona International Airport,Hamad International Airport
57842.64786880072,BCN,DSS,Barcelona International Airport,Blaise Diagne International Airport
82747.12125675658,BCN,DUB,Barcelona International Airport,Dublin Airport
0,BCN,EAS,Barcelona International Airport,San Sebastian Airport
76866.1947209911,BCN,EMA,Barcelona International Airport,East Midlands Airport
62702.27306442916,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
31046.756565882402,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
58440.95353577864,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
52962.114141799386,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
78899.14730986231,BCN,FRA,Barcelona International Airport,Frankfurt am Main Airport
59174.360482396725,BCN,FRA,Barcelona International Airport,Frankfurt am Main Airport
0,BCN,FUE,Barcelona International Airport,Fuerteventura Airport
0,BCN,GRX,Barcelona International Airport,Federico Garcia Lorca Airport
69893.1995081342,BCN,GVA,Barcelona International Airport,Geneva Cointrin International Airport
84652.21013453977,BCN,HAM,Barcelona International Airport,Hamburg Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
0,BCN,IBZ,Barcelona International Airport,Ibiza Airport
92387.56256822337,BCN,IST,Barcelona International Airport,Istanbul Airport
74370.84191906572,BCN,KEF,Barcelona International Airport,Keflavik International Airport
5404.85535989058,BCN,LBG,Barcelona International Airport,Paris-Le Bourget Airport
0,BCN,LCG,Barcelona International Airport,A Coruña Airport
79721.01342767337,BCN,LEJ,Barcelona International Airport,Leipzig/Halle Airport
92870.87131265043,BCN,LEJ,Barcelona International Airport,Leipzig/Halle Airport
79721.01342767337,BCN,LEJ,Barcelona International Airport,Leipzig/Halle Airport
77926.9006010232,BCN,LGG,Barcelona International Airport,Liège Airport
53731.70893117824,BCN,LGW,Barcelona International Airport,London Gatwick Airport
71642.27857490433,BCN,LGW,Barcelona International Airport,London Gatwick Airport
57842.64786880072,BCN,LIS,Barcelona International Airport,Humberto Delgado Airport (Lisbon Portela Airport)
69893.1995081342,BCN,LIS,Barcelona International Airport,Humberto Delgado Airport (Lisbon Portela Airport)
44988.72612017834,BCN,LIS,Barcelona International Airport,Humberto Delgado Airport (Lisbon Portela Airport)
0,BCN,LPA,Barcelona International Airport,Gran Canaria Airport
0,BCN,LPA,Barcelona International Airport,Gran Canaria Airport
76866.1947209911,BCN,LPL,Barcelona International Airport,Liverpool John Lennon Airport
71642.27857490433,BCN,LTN,Barcelona International Airport,London Luton Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAD,Barcelona International Airport,Adolfo Suárez Madrid–Barajas Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
0,BCN,MAH,Barcelona International Airport,Menorca Airport
64925.81495850704,BCN,MAN,Barcelona International Airport,Manchester Airport
76866.1947209911,BCN,MAN,Barcelona International Airport,Manchester Airport
76866.1947209911,BCN,MAN,Barcelona International Airport,Manchester Airport
59174.360482396725,BCN,MUC,Barcelona International Airport,Munich Airport
78899.14730986231,BCN,MUC,Barcelona International Airport,Munich Airport
59049.713468443,BCN,MXP,Barcelona International Airport,Malpensa International Airport
58440.95353577864,BCN,MXP,Barcelona International Airport,Malpensa International Airport
52962.114141799386,BCN,MXP,Barcelona International Airport,Malpensa International Airport
62702.27306442916,BCN,NAP,Barcelona International Airport,Naples International Airport
52962.114141799386,BCN,NAP,Barcelona International Airport,Naples International Airport
69893.1995081342,BCN,NDR,Barcelona International Airport,Nador International Airport
69893.1995081342,BCN,NDR,Barcelona International Airport,Nador International Airport
42747.49239186186,BCN,NTE,Barcelona International Airport,Nantes Atlantique Airport
82747.12125675658,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
69893.1995081342,BCN,OPO,Barcelona International Airport,Francisco de Sá Carneiro Airport
42747.49239186186,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
42747.49239186186,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
42747.49239186186,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
52574.50213711746,BCN,ORY,Barcelona International Airport,Paris-Orly Airport
0,BCN,OVD,Barcelona International Airport,Asturias Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
0,BCN,PMI,Barcelona International Airport,Palma De Mallorca Airport
52962.114141799386,BCN,PMO,Barcelona International Airport,Falcone–Borsellino Airport
82747.12125675658,BCN,PRG,Barcelona International Airport,Václav Havel Airport Prague
0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
0,BCN,SCQ,Barcelona International Airport,Santiago de Compostela Airport
0,BCN,SDR,Barcelona International Airport,Santander Airport
72388.55231005959,BCN,SEN,Barcelona International Airport,Southend Airport
85960.60169391218,BCN,SOF,Barcelona International Airport,Sofia Airport
82747.12125675658,BCN,SOF,Barcelona International Airport,Sofia Airport
76866.1947209911,BCN,STN,Barcelona International Airport,London Stansted Airport
76866.1947209911,BCN,STN,Barcelona International Airport,London Stansted Airport
59174.360482396725,BCN,STR,Barcelona International Airport,Stuttgart Airport
69893.1995081342,BCN,SVO,Barcelona International Airport,Sheremetyevo International Airport
0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
0,BCN,SVQ,Barcelona International Airport,Sevilla Airport
71502.35224956271,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
84652.21013453977,BCN,SXF,Barcelona International Airport,Berlin-Schönefeld Airport
0,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
0,BCN,TFN,Barcelona International Airport,Tenerife Norte Airport
18477.512513644673,BCN,TNG,Barcelona International Airport,Ibn Batouta Airport
62702.27306442916,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
52962.114141799386,BCN,VCE,Barcelona International Airport,Venice Marco Polo Airport
0,BCN,VGO,Barcelona International Airport,Vigo Airport
69893.1995081342,BCN,VIE,Barcelona International Airport,Vienna International Airport
0,BCN,VLC,Barcelona International Airport,Valencia Airport
0,BCN,VLC,Barcelona International Airport,Valencia Airport
0,BCN,VLL,Barcelona International Airport,Valladolid Airport
61859.498415245216,BCN,ZRH,Barcelona International Airport,Zürich Airport
