round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
96.0,BCN,ACE,Barcelona International Airport,Lanzarote Airport
103.0,BCN,AGP,Barcelona International Airport,Málaga Airport
87.0,BCN,AGP,Barcelona International Airport,Málaga Airport
96.0,BCN,AGP,Barcelona International Airport,Málaga Airport
87.0,BCN,ALC,Barcelona International Airport,Alicante International Airport
89.0,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
103.0,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
89.0,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
72.0,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
96.0,BCN,ARN,Barcelona International Airport,Stockholm-Arlanda Airport
168.0,BCN,AUH,Barcelona International Airport,Abu Dhabi International Airport
103.0,BCN,BGY,Barcelona International Airport,Milan Bergamo Airport
103.0,BCN,BHX,Barcelona International Airport,Birmingham International Airport
87.0,BCN,BIO,Barcelona International Airport,Bilbao Airport
96.0,BCN,BIO,Barcelona International Airport,Bilbao Airport
87.0,BCN,BIO,Barcelona International Airport,Bilbao Airport
103.0,BCN,BLQ,Barcelona International Airport,Bologna Guglielmo Marconi Airport
87.0,BCN,BLQ,Barcelona International Airport,Bologna Guglielmo Marconi Airport
87.0,BCN,BOD,Barcelona International Airport,Bordeaux-Mérignac Airport
3.0,BCN,BQH,Barcelona International Airport,London Biggin Hill Airport
87.0,BCN,BRS,Barcelona International Airport,Bristol Airport
103.0,BCN,BRU,Barcelona International Airport,Brussels Airport
113.0,BCN,BRU,Barcelona International Airport,Brussels Airport
87.0,BCN,BSL,Barcelona International Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
103.0,BCN,BVA,Barcelona International Airport,Paris Beauvais Tillé Airport
113.0,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
72.0,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
72.0,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
72.0,BCN,CDG,Barcelona International Airport,Charles de Gaulle International Airport
133.0,BCN,CGN,Barcelona International Airport,Cologne Bonn Airport
103.0,BCN,CGN,Barcelona International Airport,Cologne Bonn Airport
87.0,BCN,CPH,Barcelona International Airport,Copenhagen Kastrup Airport
229.0,BCN,DOH,Barcelona International Airport,Hamad International Airport
188.0,BCN,DOH,Barcelona International Airport,Hamad International Airport
188.0,BCN,DOH,Barcelona International Airport,Hamad International Airport
72.0,BCN,DSS,Barcelona International Airport,Blaise Diagne International Airport
103.0,BCN,DUB,Barcelona International Airport,Dublin Airport
72.0,BCN,EAS,Barcelona International Airport,San Sebastian Airport
103.0,BCN,EMA,Barcelona International Airport,East Midlands Airport
103.0,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
51.0,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
96.0,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
87.0,BCN,FCO,Barcelona International Airport,Leonardo da Vinci–Fiumicino Airport
96.0,BCN,FRA,Barcelona International Airport,Frankfurt am Main Airport
72.0,BCN,FRA,Barcelona International Airport,Frankfurt am Main Airport
87.0,BCN,FUE,Barcelona International Airport,Fuerteventura Airport
87.0,BCN,GRX,Barcelona International Airport,Federico Garcia Lorca Airport
