f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,BIO,AGP,Bilbao Airport,Málaga Airport
0,BIO,AGP,Bilbao Airport,Málaga Airport
0,BIO,ALC,Bilbao Airport,Alicante International Airport
72272.37733964286,BIO,AMS,Bilbao Airport,Amsterdam Airport Schiphol
72272.37733964286,BIO,AMS,Bilbao Airport,Amsterdam Airport Schiphol
0,BIO,BCN,Bilbao Airport,Barcelona International Airport
0,BIO,BCN,Bilbao Airport,Barcelona International Airport
0,BIO,BCN,Bilbao Airport,Barcelona International Airport
65627.23011655931,BIO,LGW,Bilbao Airport,London Gatwick Airport
0,BIO,LPA,Bilbao Airport,Gran Canaria Airport
0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
0,BIO,MAH,Bilbao Airport,Menorca Airport
0,BIO,MAH,Bilbao Airport,Menorca Airport
39045.01550013389,BIO,MUC,Bilbao Airport,Munich Airport
0,BIO,PMI,Bilbao Airport,Palma De Mallorca Airport
0,BIO,SVQ,Bilbao Airport,Sevilla Airport
0,BIO,SVQ,Bilbao Airport,Sevilla Airport
0,BIO,SVQ,Bilbao Airport,Sevilla Airport
0,BIO,TFN,Bilbao Airport,Tenerife Norte Airport
0,BIO,VLC,Bilbao Airport,Valencia Airport
0,BIO,VLC,Bilbao Airport,Valencia Airport
0,BIO,VLC,Bilbao Airport,Valencia Airport
