round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
68.0,BIO,AGP,Bilbao Airport,Málaga Airport
87.0,BIO,AGP,Bilbao Airport,Málaga Airport
87.0,BIO,ALC,Bilbao Airport,Alicante International Airport
89.0,BIO,AMS,Bilbao Airport,Amsterdam Airport Schiphol
89.0,BIO,AMS,Bilbao Airport,Amsterdam Airport Schiphol
87.0,BIO,BCN,Bilbao Airport,Barcelona International Airport
96.0,BIO,BCN,Bilbao Airport,Barcelona International Airport
87.0,BIO,BCN,Bilbao Airport,Barcelona International Airport
87.0,BIO,LGW,Bilbao Airport,London Gatwick Airport
96.0,BIO,LPA,Bilbao Airport,Gran Canaria Airport
107.0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
96.0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,BIO,MAD,Bilbao Airport,Adolfo Suárez Madrid–Barajas Airport
96.0,BIO,MAH,Bilbao Airport,Menorca Airport
68.0,BIO,MAH,Bilbao Airport,Menorca Airport
47.0,BIO,MUC,Bilbao Airport,Munich Airport
107.0,BIO,PMI,Bilbao Airport,Palma De Mallorca Airport
68.0,BIO,SVQ,Bilbao Airport,Sevilla Airport
96.0,BIO,SVQ,Bilbao Airport,Sevilla Airport
87.0,BIO,SVQ,Bilbao Airport,Sevilla Airport
87.0,BIO,TFN,Bilbao Airport,Tenerife Norte Airport
68.0,BIO,VLC,Bilbao Airport,Valencia Airport
58.0,BIO,VLC,Bilbao Airport,Valencia Airport
87.0,BIO,VLC,Bilbao Airport,Valencia Airport
