f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,FUE,BCN,Fuerteventura Airport,Barcelona International Airport
75332.00229243712,FUE,BGY,Fuerteventura Airport,Milan Bergamo Airport
99414.35969636022,FUE,DUB,Fuerteventura Airport,Dublin Airport
92348.87467289517,FUE,EDI,Fuerteventura Airport,Edinburgh Airport
103107.96686779558,FUE,LGW,Fuerteventura Airport,London Gatwick Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
0,FUE,MAD,Fuerteventura Airport,Adolfo Suárez Madrid–Barajas Airport
92348.87467289517,FUE,STN,Fuerteventura Airport,London Stansted Airport
0,FUE,SVQ,Fuerteventura Airport,Sevilla Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
