round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
87.0,FUE,BCN,Fuerteventura Airport,Barcelona International Airport
103.0,FUE,BGY,Fuerteventura Airport,Milan Bergamo Airport
103.0,FUE,DUB,Fuerteventura Airport,Dublin Airport
103.0,FUE,EDI,Fuerteventura Airport,Edinburgh Airport
115.0,FUE,LGW,Fuerteventura Airport,London Gatwick Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
45.0,FUE,LPA,Fuerteventura Airport,Gran Canaria Airport
115.0,FUE,MAD,Fuerteventura Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,FUE,STN,Fuerteventura Airport,London Stansted Airport
96.0,FUE,SVQ,Fuerteventura Airport,Sevilla Airport
45.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
45.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
45.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
45.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
45.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
5.0,FUE,TFN,Fuerteventura Airport,Tenerife Norte Airport
