round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
2.0,GRX,AGP,Federico Garcia Lorca Airport,Málaga Airport
2.0,GRX,AGP,Federico Garcia Lorca Airport,Málaga Airport
2.0,GRX,AGP,Federico Garcia Lorca Airport,Málaga Airport
87.0,GRX,BCN,Federico Garcia Lorca Airport,Barcelona International Airport
58.0,GRX,MAD,Federico Garcia Lorca Airport,Adolfo Suárez Madrid–Barajas Airport
58.0,GRX,MAD,Federico Garcia Lorca Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,GRX,MAH,Federico Garcia Lorca Airport,Menorca Airport
45.0,GRX,MLN,Federico Garcia Lorca Airport,Melilla Airport
103.0,GRX,PMI,Federico Garcia Lorca Airport,Palma De Mallorca Airport
107.0,GRX,PMI,Federico Garcia Lorca Airport,Palma De Mallorca Airport
87.0,GRX,TFN,Federico Garcia Lorca Airport,Tenerife Norte Airport
