f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,IBZ,AGP,Ibiza Airport,Málaga Airport
91898.48742210939,IBZ,AMS,Ibiza Airport,Amsterdam Airport Schiphol
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
0,IBZ,BCN,Ibiza Airport,Barcelona International Airport
69636.79177030711,IBZ,BGY,Ibiza Airport,Milan Bergamo Airport
69636.79177030711,IBZ,BGY,Ibiza Airport,Milan Bergamo Airport
85367.16349120872,IBZ,BHX,Ibiza Airport,Birmingham International Airport
69636.79177030711,IBZ,BLQ,Ibiza Airport,Bologna Guglielmo Marconi Airport
91898.48742210939,IBZ,CRL,Ibiza Airport,Brussels South Charleroi Airport
91898.48742210939,IBZ,DUB,Ibiza Airport,Dublin Airport
79410.11021360617,IBZ,DUS,Ibiza Airport,Düsseldorf Airport
91898.48742210939,IBZ,EIN,Ibiza Airport,Eindhoven Airport
91898.48742210939,IBZ,EIN,Ibiza Airport,Eindhoven Airport
69636.79177030711,IBZ,FCO,Ibiza Airport,Leonardo da Vinci–Fiumicino Airport
85367.16349120872,IBZ,LBA,Ibiza Airport,Leeds Bradford Airport
79565.51160345667,IBZ,LGW,Ibiza Airport,London Gatwick Airport
59674.13370259251,IBZ,LHR,Ibiza Airport,London Heathrow Airport
59674.13370259251,IBZ,LHR,Ibiza Airport,London Heathrow Airport
95467.3607200554,IBZ,LIS,Ibiza Airport,Humberto Delgado Airport (Lisbon Portela Airport)
79565.51160345667,IBZ,LTN,Ibiza Airport,London Luton Airport
0,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
0,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
0,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
0,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
0,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
85367.16349120872,IBZ,MAN,Ibiza Airport,Manchester Airport
56206.18199690574,IBZ,MRS,Ibiza Airport,Marseille Provence Airport
65718.71190091546,IBZ,MUC,Ibiza Airport,Munich Airport
58819.42605841475,IBZ,MXP,Ibiza Airport,Malpensa International Airport
58819.42605841475,IBZ,MXP,Ibiza Airport,Malpensa International Airport
58819.42605841475,IBZ,MXP,Ibiza Airport,Malpensa International Airport
94014.26841380961,IBZ,NRN,Ibiza Airport,Weeze Airport
56206.18199690574,IBZ,ORY,Ibiza Airport,Paris-Orly Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
0,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
85367.16349120872,IBZ,STN,Ibiza Airport,London Stansted Airport
0,IBZ,SVQ,Ibiza Airport,Sevilla Airport
94014.26841380961,IBZ,TXL,Ibiza Airport,Berlin-Tegel Airport
77622.9942303254,IBZ,VIE,Ibiza Airport,Vienna International Airport
0,IBZ,VLC,Ibiza Airport,Valencia Airport
0,IBZ,VLC,Ibiza Airport,Valencia Airport
2676.654973459497,IBZ,ZRH,Ibiza Airport,Zürich Airport
