round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,RYR,IBZ,AGP,Ibiza Airport,Málaga Airport
103.0,TRA,IBZ,AMS,Ibiza Airport,Amsterdam Airport Schiphol
103.0,RYR,IBZ,BCN,Ibiza Airport,Barcelona International Airport
103.0,RYR,IBZ,BCN,Ibiza Airport,Barcelona International Airport
107.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
87.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
96.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
96.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
87.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
87.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
87.0,VLG,IBZ,BCN,Ibiza Airport,Barcelona International Airport
103.0,RYR,IBZ,BGY,Ibiza Airport,Milan Bergamo Airport
103.0,MAY,IBZ,BGY,Ibiza Airport,Milan Bergamo Airport
103.0,RYR,IBZ,BHX,Ibiza Airport,Birmingham International Airport
103.0,MAY,IBZ,BLQ,Ibiza Airport,Bologna Guglielmo Marconi Airport
103.0,RYR,IBZ,CRL,Ibiza Airport,Brussels South Charleroi Airport
103.0,RYR,IBZ,DUB,Ibiza Airport,Dublin Airport
87.0,EWG,IBZ,DUS,Ibiza Airport,Düsseldorf Airport
103.0,RYR,IBZ,EIN,Ibiza Airport,Eindhoven Airport
103.0,TRA,IBZ,EIN,Ibiza Airport,Eindhoven Airport
103.0,MAY,IBZ,FCO,Ibiza Airport,Leonardo da Vinci–Fiumicino Airport
103.0,RYR,IBZ,LBA,Ibiza Airport,Leeds Bradford Airport
96.0,EZY,IBZ,LGW,Ibiza Airport,London Gatwick Airport
72.0,BAW,IBZ,LHR,Ibiza Airport,London Heathrow Airport
72.0,BAW,IBZ,LHR,Ibiza Airport,London Heathrow Airport
107.0,VLG,IBZ,LIS,Ibiza Airport,Humberto Delgado Airport (Lisbon Portela Airport)
96.0,EZY,IBZ,LTN,Ibiza Airport,London Luton Airport
103.0,RYR,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,AEA,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,AEA,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
107.0,IBS,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
107.0,VLG,IBZ,MAD,Ibiza Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,RYR,IBZ,MAN,Ibiza Airport,Manchester Airport
103.0,RYR,IBZ,MRS,Ibiza Airport,Marseille Provence Airport
72.0,DLH,IBZ,MUC,Ibiza Airport,Munich Airport
87.0,EJU,IBZ,MXP,Ibiza Airport,Malpensa International Airport
87.0,EJU,IBZ,MXP,Ibiza Airport,Malpensa International Airport
87.0,EJU,IBZ,MXP,Ibiza Airport,Malpensa International Airport
103.0,MAY,IBZ,NRN,Ibiza Airport,Weeze Airport
103.0,TVF,IBZ,ORY,Ibiza Airport,Paris-Orly Airport
45.0,SWT,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
45.0,SWT,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
45.0,SWT,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
45.0,SWT,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
58.0,ANE,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
58.0,ANE,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
58.0,ANE,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
58.0,ANE,IBZ,PMI,Ibiza Airport,Palma De Mallorca Airport
103.0,RYR,IBZ,STN,Ibiza Airport,London Stansted Airport
103.0,RYR,IBZ,SVQ,Ibiza Airport,Sevilla Airport
103.0,MAY,IBZ,TXL,Ibiza Airport,Berlin-Tegel Airport
87.0,LDM,IBZ,VIE,Ibiza Airport,Vienna International Airport
103.0,RYR,IBZ,VLC,Ibiza Airport,Valencia Airport
29.0,ANE,IBZ,VLC,Ibiza Airport,Valencia Airport
3.0,GAC,IBZ,ZRH,Ibiza Airport,Zürich Airport
