f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,ACE,Gran Canaria Airport,Lanzarote Airport
0,LPA,AGP,Gran Canaria Airport,Málaga Airport
0,LPA,BCN,Gran Canaria Airport,Barcelona International Airport
0,LPA,BCN,Gran Canaria Airport,Barcelona International Airport
0,LPA,BIO,Gran Canaria Airport,Bilbao Airport
75332.00229243712,LPA,BLQ,Gran Canaria Airport,Bologna Guglielmo Marconi Airport
43433.45811976902,LPA,DSS,Gran Canaria Airport,Blaise Diagne International Airport
99414.35969636022,LPA,DUB,Gran Canaria Airport,Dublin Airport
43433.45811976902,LPA,FNC,Gran Canaria Airport,Madeira Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,FUE,Gran Canaria Airport,Fuerteventura Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,MAD,Gran Canaria Airport,Adolfo Suárez Madrid–Barajas Airport
0,LPA,OVD,Gran Canaria Airport,Asturias Airport
0,LPA,PMI,Gran Canaria Airport,Palma De Mallorca Airport
0,LPA,SDR,Gran Canaria Airport,Santander Airport
0,LPA,SPC,Gran Canaria Airport,La Palma Airport
0,LPA,SPC,Gran Canaria Airport,La Palma Airport
0,LPA,SPC,Gran Canaria Airport,La Palma Airport
0,LPA,SPC,Gran Canaria Airport,La Palma Airport
92348.87467289517,LPA,STN,Gran Canaria Airport,London Stansted Airport
0,LPA,SVQ,Gran Canaria Airport,Sevilla Airport
0,LPA,SVQ,Gran Canaria Airport,Sevilla Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFN,Gran Canaria Airport,Tenerife Norte Airport
0,LPA,TFS,Gran Canaria Airport,Tenerife South Airport
0,LPA,TFS,Gran Canaria Airport,Tenerife South Airport
0,LPA,TFS,Gran Canaria Airport,Tenerife South Airport
0,LPA,VDE,Gran Canaria Airport,Hierro Airport
