f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
0,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
50608.39881561239,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
59915.69055181696,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
51771.81028263796,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
51771.81028263796,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
59421.328021534326,MAD,ARN,Adolfo Suárez Madrid–Barajas Airport,Stockholm-Arlanda Airport
97726.56323014805,MAD,AUH,Adolfo Suárez Madrid–Barajas Airport,Abu Dhabi International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
59915.69055181696,MAD,BEY,Adolfo Suárez Madrid–Barajas Airport,Beirut Rafic Hariri International Airport
45401.57932705249,MAD,BGY,Adolfo Suárez Madrid–Barajas Airport,Milan Bergamo Airport
0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
25565.937873485873,MAD,BLQ,Adolfo Suárez Madrid–Barajas Airport,Bologna Guglielmo Marconi Airport
55843.750417227464,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
55843.750417227464,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
65732.74788694482,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
47318.47149394347,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
25616.01464333782,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
25616.01464333782,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
34510.464172274565,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
79148.08161507403,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
61295.13087483177,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
57724.540726783314,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
45401.57932705249,MAD,CIA,Adolfo Suárez Madrid–Barajas Airport,Ciampino–G. B. Pastine International Airport
26176.758008075372,MAD,CMN,Adolfo Suárez Madrid–Barajas Airport,Mohammed V International Airport
134955.73017496636,MAD,DFW,Adolfo Suárez Madrid–Barajas Airport,Dallas Fort Worth International Airport
109360.67790040378,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
133210.61297442802,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
109360.67790040378,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
50608.39881561239,MAD,DUB,Adolfo Suárez Madrid–Barajas Airport,Dublin Airport
59915.69055181696,MAD,DUB,Adolfo Suárez Madrid–Barajas Airport,Dublin Airport
134955.73017496636,MAD,DXB,Adolfo Suárez Madrid–Barajas Airport,Dubai International Airport
