round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
115.0,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
58.0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
58.0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
45.0,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
58.0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
58.0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
58.0,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
87.0,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
103.0,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
89.0,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
89.0,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
96.0,MAD,ARN,Adolfo Suárez Madrid–Barajas Airport,Stockholm-Arlanda Airport
168.0,MAD,AUH,Adolfo Suárez Madrid–Barajas Airport,Abu Dhabi International Airport
96.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
96.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
107.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
87.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
103.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
87.0,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
103.0,MAD,BEY,Adolfo Suárez Madrid–Barajas Airport,Beirut Rafic Hariri International Airport
103.0,MAD,BGY,Adolfo Suárez Madrid–Barajas Airport,Milan Bergamo Airport
96.0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
103.0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
107.0,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
58.0,MAD,BLQ,Adolfo Suárez Madrid–Barajas Airport,Bologna Guglielmo Marconi Airport
96.0,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
96.0,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
113.0,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
133.0,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
72.0,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
72.0,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
97.0,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
133.0,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
103.0,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
97.0,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
