round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,RYR,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
115.0,IBS,MAD,ACE,Adolfo Suárez Madrid–Barajas Airport,Lanzarote Airport
58.0,ANE,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
58.0,ANE,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
45.0,OVA,MAD,AGP,Adolfo Suárez Madrid–Barajas Airport,Málaga Airport
58.0,ANE,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
58.0,ANE,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
58.0,OVA,MAD,ALC,Adolfo Suárez Madrid–Barajas Airport,Alicante International Airport
87.0,IBE,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
103.0,AEA,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
89.0,KLM,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
89.0,KLM,MAD,AMS,Adolfo Suárez Madrid–Barajas Airport,Amsterdam Airport Schiphol
96.0,IBE,MAD,ARN,Adolfo Suárez Madrid–Barajas Airport,Stockholm-Arlanda Airport
168.0,ETD,MAD,AUH,Adolfo Suárez Madrid–Barajas Airport,Abu Dhabi International Airport
96.0,IBE,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
96.0,IBE,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
107.0,IBE,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
87.0,IBE,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
103.0,AEA,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
87.0,VLG,MAD,BCN,Adolfo Suárez Madrid–Barajas Airport,Barcelona International Airport
103.0,TVS,MAD,BEY,Adolfo Suárez Madrid–Barajas Airport,Beirut Rafic Hariri International Airport
103.0,RYR,MAD,BGY,Adolfo Suárez Madrid–Barajas Airport,Milan Bergamo Airport
96.0,IBE,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
103.0,AEA,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
107.0,IBE,MAD,BIO,Adolfo Suárez Madrid–Barajas Airport,Bilbao Airport
58.0,ANE,MAD,BLQ,Adolfo Suárez Madrid–Barajas Airport,Bologna Guglielmo Marconi Airport
96.0,IBE,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
96.0,IBE,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
113.0,BCS,MAD,BRU,Adolfo Suárez Madrid–Barajas Airport,Brussels Airport
133.0,FDX,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
72.0,AFR,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
72.0,AFR,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
97.0,ABR,MAD,CDG,Adolfo Suárez Madrid–Barajas Airport,Charles de Gaulle International Airport
133.0,UPS,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
103.0,MAY,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
97.0,ABR,MAD,CGN,Adolfo Suárez Madrid–Barajas Airport,Cologne Bonn Airport
103.0,RYR,MAD,CIA,Adolfo Suárez Madrid–Barajas Airport,Ciampino–G. B. Pastine International Airport
45.0,SWT,MAD,CMN,Adolfo Suárez Madrid–Barajas Airport,Mohammed V International Airport
232.0,AAL,MAD,DFW,Adolfo Suárez Madrid–Barajas Airport,Dallas Fort Worth International Airport
188.0,QTR,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
229.0,QTR,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
188.0,QTR,MAD,DOH,Adolfo Suárez Madrid–Barajas Airport,Hamad International Airport
87.0,IBE,MAD,DUB,Adolfo Suárez Madrid–Barajas Airport,Dublin Airport
103.0,RYR,MAD,DUB,Adolfo Suárez Madrid–Barajas Airport,Dublin Airport
232.0,UAE,MAD,DXB,Adolfo Suárez Madrid–Barajas Airport,Dubai International Airport
45.0,ANE,MAD,EAS,Adolfo Suárez Madrid–Barajas Airport,San Sebastian Airport
113.0,DHK,MAD,EMA,Adolfo Suárez Madrid–Barajas Airport,East Midlands Airport
97.0,ABR,MAD,EMA,Adolfo Suárez Madrid–Barajas Airport,East Midlands Airport
5.0,NJE,MAD,FAO,Adolfo Suárez Madrid–Barajas Airport,Faro Airport
107.0,IBE,MAD,FCO,Adolfo Suárez Madrid–Barajas Airport,Leonardo da Vinci–Fiumicino Airport
72.0,AZA,MAD,FCO,Adolfo Suárez Madrid–Barajas Airport,Leonardo da Vinci–Fiumicino Airport
21.0,AEG,MAD,FKB,Adolfo Suárez Madrid–Barajas Airport,Karlsruhe Baden-Baden Airport
72.0,VLG,MAD,FLR,Adolfo Suárez Madrid–Barajas Airport,Peretola Airport
