f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BCN,Menorca Airport,Barcelona International Airport
0,MAH,BIO,Menorca Airport,Bilbao Airport
0,MAH,BIO,Menorca Airport,Bilbao Airport
0,MAH,GRX,Menorca Airport,Federico Garcia Lorca Airport
72106.24489063262,MAH,LGW,Menorca Airport,London Gatwick Airport
0,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
0,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0,MAH,VLC,Menorca Airport,Valencia Airport
0,MAH,VLC,Menorca Airport,Valencia Airport
