round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,MAH,BCN,Menorca Airport,Barcelona International Airport
96.0,MAH,BCN,Menorca Airport,Barcelona International Airport
87.0,MAH,BCN,Menorca Airport,Barcelona International Airport
87.0,MAH,BCN,Menorca Airport,Barcelona International Airport
87.0,MAH,BCN,Menorca Airport,Barcelona International Airport
87.0,MAH,BCN,Menorca Airport,Barcelona International Airport
96.0,MAH,BCN,Menorca Airport,Barcelona International Airport
87.0,MAH,BCN,Menorca Airport,Barcelona International Airport
68.0,MAH,BIO,Menorca Airport,Bilbao Airport
96.0,MAH,BIO,Menorca Airport,Bilbao Airport
87.0,MAH,GRX,Menorca Airport,Federico Garcia Lorca Airport
87.0,MAH,LGW,Menorca Airport,London Gatwick Airport
103.0,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
87.0,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
4.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
45.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
45.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
58.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
58.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
58.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
58.0,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
68.0,MAH,VLC,Menorca Airport,Valencia Airport
96.0,MAH,VLC,Menorca Airport,Valencia Airport
