sir,aeropuertoLlegada,aeropuertoSalida,entrada.airportName,salida.airportName
1.3100081224132896,MAH,BCN,Menorca Airport,Barcelona International Airport
1.3100081224132896,MAH,BCN,Menorca Airport,Barcelona International Airport
1.3100081224132896,MAH,BCN,Menorca Airport,Barcelona International Airport
1.4430961525987285,MAH,BCN,Menorca Airport,Barcelona International Airport
1.554542971930437,MAH,BCN,Menorca Airport,Barcelona International Airport
1.4410089346546187,MAH,BCN,Menorca Airport,Barcelona International Airport
1.3100081224132896,MAH,BCN,Menorca Airport,Barcelona International Airport
1.3100081224132896,MAH,BCN,Menorca Airport,Barcelona International Airport
1.026252532991258,MAH,BIO,Menorca Airport,Bilbao Airport
1.4472792131928,MAH,BIO,Menorca Airport,Bilbao Airport
1.315708375629818,MAH,GRX,Menorca Airport,Federico Garcia Lorca Airport
0.5381546693123342,MAH,LGW,Menorca Airport,London Gatwick Airport
1.5613072724140509,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
1.3138056766108548,MAH,MAD,Menorca Airport,Adolfo Suárez Madrid–Barajas Airport
0.8733387482755263,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.6812042236549105,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.062204375404385163,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.6812042236549105,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.8733387482755263,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.8733387482755263,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
0.8733387482755263,MAH,PMI,Menorca Airport,Palma De Mallorca Airport
1.0232863627518254,MAH,VLC,Menorca Airport,Valencia Airport
1.4451862442719405,MAH,VLC,Menorca Airport,Valencia Airport
