f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,PMI,AGP,Palma De Mallorca Airport,Málaga Airport
0,PMI,AGP,Palma De Mallorca Airport,Málaga Airport
0,PMI,ALC,Palma De Mallorca Airport,Alicante International Airport
0,PMI,ALC,Palma De Mallorca Airport,Alicante International Airport
91898.48742210939,PMI,AMS,Palma De Mallorca Airport,Amsterdam Airport Schiphol
91140.23581301126,PMI,ARN,Palma De Mallorca Airport,Stockholm-Arlanda Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
72106.24489063262,PMI,BFS,Palma De Mallorca Airport,Belfast International Airport
9814.401569351488,PMI,BGI,Palma De Mallorca Airport,Grantley Adams International Airport
69636.79177030711,PMI,BGY,Palma De Mallorca Airport,Milan Bergamo Airport
85367.16349120872,PMI,BHX,Palma De Mallorca Airport,Birmingham International Airport
0,PMI,BIO,Palma De Mallorca Airport,Bilbao Airport
4746.887281927669,PMI,BMA,Palma De Mallorca Airport,Stockholm-Bromma Airport
79565.51160345667,PMI,BRS,Palma De Mallorca Airport,Bristol Airport
85367.16349120872,PMI,BRS,Palma De Mallorca Airport,Bristol Airport
91898.48742210939,PMI,BRU,Palma De Mallorca Airport,Brussels Airport
47475.124599328155,PMI,BSL,Palma De Mallorca Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
47475.124599328155,PMI,BSL,Palma De Mallorca Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
65718.71190091546,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
94014.26841380961,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
94014.26841380961,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
69636.79177030711,PMI,CIA,Palma De Mallorca Airport,Ciampino–G. B. Pastine International Airport
88682.39314135276,PMI,CWL,Palma De Mallorca Airport,Cardiff International Airport
94014.26841380961,PMI,DTM,Palma De Mallorca Airport,Dortmund Airport
79410.11021360617,PMI,DUS,Palma De Mallorca Airport,Düsseldorf Airport
85367.16349120872,PMI,EDI,Palma De Mallorca Airport,Edinburgh Airport
91898.48742210939,PMI,EIN,Palma De Mallorca Airport,Eindhoven Airport
6245.528271405493,PMI,EIN,Palma De Mallorca Airport,Eindhoven Airport
85367.16349120872,PMI,EMA,Palma De Mallorca Airport,East Midlands Airport
94014.26841380961,PMI,FKB,Palma De Mallorca Airport,Karlsruhe Baden-Baden Airport
2738.279662538144,PMI,FMM,Palma De Mallorca Airport,Memmingen Allgau Airport
94014.26841380961,PMI,FMM,Palma De Mallorca Airport,Memmingen Allgau Airport
65718.71190091546,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
87624.9492012206,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
94014.26841380961,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
0,PMI,GRX,Palma De Mallorca Airport,Federico Garcia Lorca Airport
0,PMI,GRX,Palma De Mallorca Airport,Federico Garcia Lorca Airport
77622.9942303254,PMI,GVA,Palma De Mallorca Airport,Geneva Cointrin International Airport
79410.11021360617,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
94014.26841380961,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
94014.26841380961,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
94014.26841380961,PMI,HHN,Palma De Mallorca Airport,Frankfurt-Hahn Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
85367.16349120872,PMI,LBA,Palma De Mallorca Airport,Leeds Bradford Airport
72106.24489063262,PMI,LGW,Palma De Mallorca Airport,London Gatwick Airport
72106.24489063262,PMI,LGW,Palma De Mallorca Airport,London Gatwick Airport
