round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,PMI,AGP,Palma De Mallorca Airport,Málaga Airport
87.0,PMI,AGP,Palma De Mallorca Airport,Málaga Airport
87.0,PMI,ALC,Palma De Mallorca Airport,Alicante International Airport
58.0,PMI,ALC,Palma De Mallorca Airport,Alicante International Airport
103.0,PMI,AMS,Palma De Mallorca Airport,Amsterdam Airport Schiphol
96.0,PMI,ARN,Palma De Mallorca Airport,Stockholm-Arlanda Airport
17.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
17.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
103.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
107.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
107.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
87.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
107.0,PMI,BCN,Palma De Mallorca Airport,Barcelona International Airport
87.0,PMI,BFS,Palma De Mallorca Airport,Belfast International Airport
11.0,PMI,BGI,Palma De Mallorca Airport,Grantley Adams International Airport
103.0,PMI,BGY,Palma De Mallorca Airport,Milan Bergamo Airport
103.0,PMI,BHX,Palma De Mallorca Airport,Birmingham International Airport
107.0,PMI,BIO,Palma De Mallorca Airport,Bilbao Airport
5.0,PMI,BMA,Palma De Mallorca Airport,Stockholm-Bromma Airport
96.0,PMI,BRS,Palma De Mallorca Airport,Bristol Airport
103.0,PMI,BRS,Palma De Mallorca Airport,Bristol Airport
103.0,PMI,BRU,Palma De Mallorca Airport,Brussels Airport
87.0,PMI,BSL,Palma De Mallorca Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
87.0,PMI,BSL,Palma De Mallorca Airport,EuroAirport Basel-Mulhouse-Freiburg Airport
72.0,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
103.0,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
103.0,PMI,CGN,Palma De Mallorca Airport,Cologne Bonn Airport
103.0,PMI,CIA,Palma De Mallorca Airport,Ciampino–G. B. Pastine International Airport
107.0,PMI,CWL,Palma De Mallorca Airport,Cardiff International Airport
103.0,PMI,DTM,Palma De Mallorca Airport,Dortmund Airport
87.0,PMI,DUS,Palma De Mallorca Airport,Düsseldorf Airport
103.0,PMI,EDI,Palma De Mallorca Airport,Edinburgh Airport
103.0,PMI,EIN,Palma De Mallorca Airport,Eindhoven Airport
7.0,PMI,EIN,Palma De Mallorca Airport,Eindhoven Airport
103.0,PMI,EMA,Palma De Mallorca Airport,East Midlands Airport
103.0,PMI,FKB,Palma De Mallorca Airport,Karlsruhe Baden-Baden Airport
3.0,PMI,FMM,Palma De Mallorca Airport,Memmingen Allgau Airport
103.0,PMI,FMM,Palma De Mallorca Airport,Memmingen Allgau Airport
72.0,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
96.0,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
103.0,PMI,FRA,Palma De Mallorca Airport,Frankfurt am Main Airport
107.0,PMI,GRX,Palma De Mallorca Airport,Federico Garcia Lorca Airport
103.0,PMI,GRX,Palma De Mallorca Airport,Federico Garcia Lorca Airport
87.0,PMI,GVA,Palma De Mallorca Airport,Geneva Cointrin International Airport
87.0,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
103.0,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
103.0,PMI,HAM,Palma De Mallorca Airport,Hamburg Airport
103.0,PMI,HHN,Palma De Mallorca Airport,Frankfurt-Hahn Airport
45.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
45.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
45.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
17.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
45.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
58.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
58.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
58.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
58.0,PMI,IBZ,Palma De Mallorca Airport,Ibiza Airport
103.0,PMI,LBA,Palma De Mallorca Airport,Leeds Bradford Airport
87.0,PMI,LGW,Palma De Mallorca Airport,London Gatwick Airport
87.0,PMI,LGW,Palma De Mallorca Airport,London Gatwick Airport
72.0,PMI,LHR,Palma De Mallorca Airport,London Heathrow Airport
1.0,PMI,LPA,Palma De Mallorca Airport,Gran Canaria Airport
96.0,PMI,LPL,Palma De Mallorca Airport,Liverpool John Lennon Airport
96.0,PMI,LTN,Palma De Mallorca Airport,London Luton Airport
87.0,PMI,LTN,Palma De Mallorca Airport,London Luton Airport
43.0,PMI,LUX,Palma De Mallorca Airport,Luxembourg-Findel International Airport
17.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
103.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
107.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
115.0,PMI,MAD,Palma De Mallorca Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
58.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
45.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
58.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
4.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
58.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
58.0,PMI,MAH,Palma De Mallorca Airport,Menorca Airport
96.0,PMI,MAN,Palma De Mallorca Airport,Manchester Airport
103.0,PMI,MAN,Palma De Mallorca Airport,Manchester Airport
103.0,PMI,MAN,Palma De Mallorca Airport,Manchester Airport
87.0,PMI,MXP,Palma De Mallorca Airport,Malpensa International Airport
103.0,PMI,NCL,Palma De Mallorca Airport,Newcastle Airport
72.0,PMI,NTE,Palma De Mallorca Airport,Nantes Atlantique Airport
103.0,PMI,OPO,Palma De Mallorca Airport,Francisco de Sá Carneiro Airport
103.0,PMI,ORY,Palma De Mallorca Airport,Paris-Orly Airport
107.0,PMI,ORY,Palma De Mallorca Airport,Paris-Orly Airport
103.0,PMI,PIK,Palma De Mallorca Airport,Glasgow Prestwick Airport
107.0,PMI,SCQ,Palma De Mallorca Airport,Santiago de Compostela Airport
107.0,PMI,SDR,Palma De Mallorca Airport,Santander Airport
103.0,PMI,SEN,Palma De Mallorca Airport,Southend Airport
103.0,PMI,STN,Palma De Mallorca Airport,London Stansted Airport
87.0,PMI,STR,Palma De Mallorca Airport,Stuttgart Airport
103.0,PMI,SVQ,Palma De Mallorca Airport,Sevilla Airport
107.0,PMI,SVQ,Palma De Mallorca Airport,Sevilla Airport
87.0,PMI,SXF,Palma De Mallorca Airport,Berlin-Schönefeld Airport
103.0,PMI,SXF,Palma De Mallorca Airport,Berlin-Schönefeld Airport
11.0,PMI,SXF,Palma De Mallorca Airport,Berlin-Schönefeld Airport
87.0,PMI,TXL,Palma De Mallorca Airport,Berlin-Tegel Airport
87.0,PMI,TXL,Palma De Mallorca Airport,Berlin-Tegel Airport
103.0,PMI,TXL,Palma De Mallorca Airport,Berlin-Tegel Airport
87.0,PMI,VIE,Palma De Mallorca Airport,Vienna International Airport
45.0,PMI,VLC,Palma De Mallorca Airport,Valencia Airport
103.0,PMI,VLC,Palma De Mallorca Airport,Valencia Airport
103.0,PMI,VLC,Palma De Mallorca Airport,Valencia Airport
96.0,PMI,VLC,Palma De Mallorca Airport,Valencia Airport
103.0,PMI,VLL,Palma De Mallorca Airport,Valladolid Airport
93.0,PMI,ZRH,Palma De Mallorca Airport,Zürich Airport
