f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,SCQ,AGP,Santiago de Compostela Airport,Málaga Airport
0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
0,SCQ,BCN,Santiago de Compostela Airport,Barcelona International Airport
0,SCQ,MAD,Santiago de Compostela Airport,Adolfo Suárez Madrid–Barajas Airport
0,SCQ,MAD,Santiago de Compostela Airport,Adolfo Suárez Madrid–Barajas Airport
0,SCQ,PMI,Santiago de Compostela Airport,Palma De Mallorca Airport
2048.897724762536,SCQ,STN,Santiago de Compostela Airport,London Stansted Airport
42207.29313010824,SCQ,STN,Santiago de Compostela Airport,London Stansted Airport
0,SCQ,SVQ,Santiago de Compostela Airport,Sevilla Airport
0,SCQ,TFS,Santiago de Compostela Airport,Tenerife South Airport
0,SCQ,VIT,Santiago de Compostela Airport,Vitoria/Foronda Airport
