f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,SPC,LPA,La Palma Airport,Gran Canaria Airport
0,SPC,LPA,La Palma Airport,Gran Canaria Airport
0,SPC,LPA,La Palma Airport,Gran Canaria Airport
0,SPC,LPA,La Palma Airport,Gran Canaria Airport
0,SPC,MAD,La Palma Airport,Adolfo Suárez Madrid–Barajas Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
