round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
45.0,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,SPC,LPA,La Palma Airport,Gran Canaria Airport
87.0,SPC,MAD,La Palma Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,SPC,TFN,La Palma Airport,Tenerife Norte Airport
