round(f.occupancyPercentage * f.seatsCapacity/100),f.operator,entrada.iata,salida.iata,entrada.airportName,salida.airportName
45.0,IBB,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,IBB,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,IBB,SPC,LPA,La Palma Airport,Gran Canaria Airport
45.0,CNF,SPC,LPA,La Palma Airport,Gran Canaria Airport
87.0,IBE,SPC,MAD,La Palma Airport,Adolfo Suárez Madrid–Barajas Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,IBB,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,CNF,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,CNF,SPC,TFN,La Palma Airport,Tenerife Norte Airport
45.0,CNF,SPC,TFN,La Palma Airport,Tenerife Norte Airport
