f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
78361.99054694647,SVQ,AMS,Sevilla Airport,Amsterdam Airport Schiphol
0,SVQ,BCN,Sevilla Airport,Barcelona International Airport
0,SVQ,BCN,Sevilla Airport,Barcelona International Airport
0,SVQ,BCN,Sevilla Airport,Barcelona International Airport
0,SVQ,BCN,Sevilla Airport,Barcelona International Airport
59379.40625028877,SVQ,BGY,Sevilla Airport,Milan Bergamo Airport
0,SVQ,BIO,Sevilla Airport,Bilbao Airport
0,SVQ,BIO,Sevilla Airport,Bilbao Airport
0,SVQ,BIO,Sevilla Airport,Bilbao Airport
28849.324333065357,SVQ,CDG,Sevilla Airport,Charles de Gaulle International Airport
80166.12045943872,SVQ,CGN,Sevilla Airport,Cologne Bonn Airport
78361.99054694647,SVQ,CRL,Sevilla Airport,Brussels South Charleroi Airport
59379.40625028877,SVQ,FCO,Sevilla Airport,Leonardo da Vinci–Fiumicino Airport
0,SVQ,FUE,Sevilla Airport,Fuerteventura Airport
66189.2541513043,SVQ,GVA,Sevilla Airport,Geneva Cointrin International Airport
0,SVQ,IBZ,Sevilla Airport,Ibiza Airport
0,SVQ,LPA,Sevilla Airport,Gran Canaria Airport
0,SVQ,LPA,Sevilla Airport,Gran Canaria Airport
0,SVQ,MAD,Sevilla Airport,Adolfo Suárez Madrid–Barajas Airport
0,SVQ,MAD,Sevilla Airport,Adolfo Suárez Madrid–Barajas Airport
3257.181779539637,SVQ,MPL,Sevilla Airport,Montpellier-Méditerranée Airport
5118.428510705144,SVQ,MRS,Sevilla Airport,Marseille Provence Airport
47927.1033275118,SVQ,NTE,Sevilla Airport,Nantes Atlantique Airport
47927.1033275118,SVQ,ORY,Sevilla Airport,Paris-Orly Airport
40482.11640284977,SVQ,ORY,Sevilla Airport,Paris-Orly Airport
0,SVQ,PMI,Sevilla Airport,Palma De Mallorca Airport
0,SVQ,PMI,Sevilla Airport,Palma De Mallorca Airport
0,SVQ,SCQ,Sevilla Airport,Santiago de Compostela Airport
0,SVQ,SDR,Sevilla Airport,Santander Airport
72792.71994751383,SVQ,STN,Sevilla Airport,London Stansted Airport
80166.12045943872,SVQ,SXF,Sevilla Airport,Berlin-Schönefeld Airport
0,SVQ,TFN,Sevilla Airport,Tenerife Norte Airport
0,SVQ,TFS,Sevilla Airport,Tenerife South Airport
117162.58780805588,SVQ,TNG,Sevilla Airport,Ibn Batouta Airport
0,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
0,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
0,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
0,SVQ,XRY,Sevilla Airport,Jerez Airport
