sir,aeropuertoLlegada,aeropuertoSalida,entrada.airportName,salida.airportName
0.6295029795062693,SVQ,AMS,Sevilla Airport,Amsterdam Airport Schiphol
1.5635682496554546,SVQ,BCN,Sevilla Airport,Barcelona International Airport
1.3176136935298772,SVQ,BCN,Sevilla Airport,Barcelona International Airport
1.4493750628828652,SVQ,BCN,Sevilla Airport,Barcelona International Airport
1.4493750628828652,SVQ,BCN,Sevilla Airport,Barcelona International Airport
0.5264494981777765,SVQ,BGY,Sevilla Airport,Milan Bergamo Airport
1.026252532991258,SVQ,BIO,Sevilla Airport,Bilbao Airport
1.315708375629818,SVQ,BIO,Sevilla Airport,Bilbao Airport
1.4472792131928,SVQ,BIO,Sevilla Airport,Bilbao Airport
0.4921500388729246,SVQ,CDG,Sevilla Airport,Charles de Gaulle International Airport
0.35122783702067173,SVQ,CGN,Sevilla Airport,Cologne Bonn Airport
0.9800126653457722,SVQ,CRL,Sevilla Airport,Brussels South Charleroi Airport
0.5264494981777765,SVQ,FCO,Sevilla Airport,Leonardo da Vinci–Fiumicino Airport
1.4514737968667055,SVQ,FUE,Sevilla Airport,Fuerteventura Airport
0.5236313871792603,SVQ,GVA,Sevilla Airport,Geneva Cointrin International Airport
1.5613072724140509,SVQ,IBZ,Sevilla Airport,Ibiza Airport
1.5658323384380215,SVQ,LPA,Sevilla Airport,Gran Canaria Airport
1.4514737968667055,SVQ,LPA,Sevilla Airport,Gran Canaria Airport
1.3138056766108548,SVQ,MAD,Sevilla Airport,Adolfo Suárez Madrid–Barajas Airport
1.3138056766108548,SVQ,MAD,Sevilla Airport,Adolfo Suárez Madrid–Barajas Airport
0.05543669825068855,SVQ,MPL,Sevilla Airport,Montpellier-Méditerranée Airport
0.08764670898828747,SVQ,MRS,Sevilla Airport,Marseille Provence Airport
0.8151380582784972,SVQ,NTE,Sevilla Airport,Nantes Atlantique Airport
0.8175222463039568,SVQ,ORY,Sevilla Airport,Paris-Orly Airport
0.6889232412673794,SVQ,ORY,Sevilla Airport,Paris-Orly Airport
1.5635682496554546,SVQ,PMI,Sevilla Airport,Palma De Mallorca Airport
1.6250568886868486,SVQ,PMI,Sevilla Airport,Palma De Mallorca Airport
1.5613072724140509,SVQ,SCQ,Sevilla Airport,Santiago de Compostela Airport
1.026252532991258,SVQ,SDR,Sevilla Airport,Santander Airport
0.6414174231993088,SVQ,STN,Sevilla Airport,London Stansted Airport
0.35278641828625945,SVQ,SXF,Sevilla Airport,Berlin-Schönefeld Airport
1.4514737968667055,SVQ,TFN,Sevilla Airport,Tenerife Norte Airport
1.5680995425672613,SVQ,TFS,Sevilla Airport,Tenerife South Airport
0.46008049875426066,SVQ,TNG,Sevilla Airport,Ibn Batouta Airport
2.333189519450211,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
2.2367042385706903,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
1.4735933807053958,SVQ,VIT,Sevilla Airport,Vitoria/Foronda Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03523819196780363,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03503481804295613,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.0348830202890686,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03508555668346182,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
0.03498414915390856,SVQ,XRY,Sevilla Airport,Jerez Airport
0.034933549931021046,SVQ,XRY,Sevilla Airport,Jerez Airport
