f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
0,TFN,ACE,Tenerife Norte Airport,Lanzarote Airport
0,TFN,AGP,Tenerife Norte Airport,Málaga Airport
0,TFN,ALC,Tenerife Norte Airport,Alicante International Airport
0,TFN,BCN,Tenerife Norte Airport,Barcelona International Airport
0,TFN,BCN,Tenerife Norte Airport,Barcelona International Airport
0,TFN,BIO,Tenerife Norte Airport,Bilbao Airport
0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
0,TFN,FUE,Tenerife Norte Airport,Fuerteventura Airport
0,TFN,GRX,Tenerife Norte Airport,Federico Garcia Lorca Airport
965.1879582170894,TFN,LIS,Tenerife Norte Airport,Humberto Delgado Airport (Lisbon Portela Airport)
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,LPA,Tenerife Norte Airport,Gran Canaria Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,MAD,Tenerife Norte Airport,Adolfo Suárez Madrid–Barajas Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SPC,Tenerife Norte Airport,La Palma Airport
0,TFN,SVQ,Tenerife Norte Airport,Sevilla Airport
0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
0,TFN,VDE,Tenerife Norte Airport,Hierro Airport
0,TFN,VGO,Tenerife Norte Airport,Vigo Airport
