f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,TFS,BCN,Tenerife South Airport,Barcelona International Airport
92348.87467289517,TFS,BHX,Tenerife South Airport,Birmingham International Airport
86072.73755920326,TFS,BRS,Tenerife South Airport,Bristol Airport
92348.87467289517,TFS,BRS,Tenerife South Airport,Bristol Airport
213306.53876597676,TFS,BRU,Tenerife South Airport,Brussels Airport
99414.35969636022,TFS,DUB,Tenerife South Airport,Dublin Airport
99414.35969636022,TFS,KTW,Tenerife South Airport,Katowice International Airport
103107.96686779558,TFS,LGW,Tenerife South Airport,London Gatwick Airport
0,TFS,LPA,Tenerife South Airport,Gran Canaria Airport
0,TFS,LPA,Tenerife South Airport,Gran Canaria Airport
0,TFS,LPA,Tenerife South Airport,Gran Canaria Airport
78003.41841302796,TFS,LTN,Tenerife South Airport,London Luton Airport
0,TFS,MAD,Tenerife South Airport,Adolfo Suárez Madrid–Barajas Airport
86072.73755920326,TFS,MAN,Tenerife South Airport,Manchester Airport
92348.87467289517,TFS,MAN,Tenerife South Airport,Manchester Airport
63629.94368390319,TFS,MXP,Tenerife South Airport,Malpensa International Airport
0,TFS,SCQ,Tenerife South Airport,Santiago de Compostela Airport
99414.35969636022,TFS,SNN,Tenerife South Airport,Shannon Airport
92348.87467289517,TFS,STN,Tenerife South Airport,London Stansted Airport
0,TFS,SVQ,Tenerife South Airport,Sevilla Airport
83971.35236488677,TFS,VIE,Tenerife South Airport,Vienna International Airport
99414.35969636022,TFS,WAW,Tenerife South Airport,Warsaw Chopin Airport
83971.35236488677,TFS,ZRH,Tenerife South Airport,Zürich Airport
