f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,VIT,ALC,Vitoria/Foronda Airport,Alicante International Airport
0,VIT,BCN,Vitoria/Foronda Airport,Barcelona International Airport
125055.57427308988,VIT,BRU,Vitoria/Foronda Airport,Brussels Airport
80582.26603219123,VIT,CGN,Vitoria/Foronda Airport,Cologne Bonn Airport
122950.26157488972,VIT,CGN,Vitoria/Foronda Airport,Cologne Bonn Airport
73170.58990007188,VIT,EMA,Vitoria/Foronda Airport,East Midlands Airport
0,VIT,ILD,Vitoria/Foronda Airport,Lleida-Alguaire Airport
0,VIT,ILD,Vitoria/Foronda Airport,Lleida-Alguaire Airport
127934.7316387366,VIT,LEJ,Vitoria/Foronda Airport,Leipzig/Halle Airport
93874.18620244958,VIT,LEJ,Vitoria/Foronda Airport,Leipzig/Halle Airport
91761.55774583868,VIT,LIS,Vitoria/Foronda Airport,Humberto Delgado Airport (Lisbon Portela Airport)
0,VIT,SCQ,Vitoria/Foronda Airport,Santiago de Compostela Airport
0,VIT,SDR,Vitoria/Foronda Airport,Santander Airport
0,VIT,SVQ,Vitoria/Foronda Airport,Sevilla Airport
0,VIT,SVQ,Vitoria/Foronda Airport,Sevilla Airport
0,VIT,VLC,Vitoria/Foronda Airport,Valencia Airport
