f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,VLC,ACE,Valencia Airport,Lanzarote Airport
0,VLC,ACE,Valencia Airport,Lanzarote Airport
75239.0579856644,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
40906.6723028855,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
40906.6723028855,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
0,VLC,BCN,Valencia Airport,Barcelona International Airport
0,VLC,BCN,Valencia Airport,Barcelona International Airport
57012.979875022975,VLC,BGY,Valencia Airport,Milan Bergamo Airport
0,VLC,BIO,Valencia Airport,Bilbao Airport
0,VLC,BIO,Valencia Airport,Bilbao Airport
0,VLC,BIO,Valencia Airport,Bilbao Airport
75239.0579856644,VLC,BRU,Valencia Airport,Brussels Airport
46017.081510751705,VLC,CDG,Valencia Airport,Charles de Gaulle International Airport
76971.28854989892,VLC,CGN,Valencia Airport,Cologne Bonn Airport
75239.0579856644,VLC,DUB,Valencia Airport,Dublin Airport
69891.73754824481,VLC,EMA,Valencia Airport,East Midlands Airport
65014.58353243889,VLC,FRA,Valencia Airport,Frankfurt am Main Airport
0,VLC,IBZ,Valencia Airport,Ibiza Airport
0,VLC,IBZ,Valencia Airport,Ibiza Airport
32871.433100532995,VLC,LIS,Valencia Airport,Humberto Delgado Airport (Lisbon Portela Airport)
0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
0,VLC,MAH,Valencia Airport,Menorca Airport
0,VLC,MAH,Valencia Airport,Menorca Airport
57012.979875022975,VLC,MXP,Valencia Airport,Malpensa International Airport
46017.081510751705,VLC,NTE,Valencia Airport,Nantes Atlantique Airport
46017.081510751705,VLC,ORY,Valencia Airport,Paris-Orly Airport
0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
0,VLC,SDR,Valencia Airport,Santander Airport
69891.73754824481,VLC,STN,Valencia Airport,London Stansted Airport
0,VLC,VIT,Valencia Airport,Vitoria/Foronda Airport
67934.29507443485,VLC,ZRH,Valencia Airport,Zürich Airport
