round(f.occupancyPercentage * f.seatsCapacity/100),entrada.iata,salida.iata,entrada.airportName,salida.airportName
103.0,VLC,ACE,Valencia Airport,Lanzarote Airport
96.0,VLC,ACE,Valencia Airport,Lanzarote Airport
103.0,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
56.0,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
56.0,VLC,AMS,Valencia Airport,Amsterdam Airport Schiphol
133.0,VLC,BCN,Valencia Airport,Barcelona International Airport
97.0,VLC,BCN,Valencia Airport,Barcelona International Airport
103.0,VLC,BGY,Valencia Airport,Milan Bergamo Airport
68.0,VLC,BIO,Valencia Airport,Bilbao Airport
58.0,VLC,BIO,Valencia Airport,Bilbao Airport
87.0,VLC,BIO,Valencia Airport,Bilbao Airport
103.0,VLC,BRU,Valencia Airport,Brussels Airport
103.0,VLC,CDG,Valencia Airport,Charles de Gaulle International Airport
103.0,VLC,CGN,Valencia Airport,Cologne Bonn Airport
103.0,VLC,DUB,Valencia Airport,Dublin Airport
103.0,VLC,EMA,Valencia Airport,East Midlands Airport
87.0,VLC,FRA,Valencia Airport,Frankfurt am Main Airport
103.0,VLC,IBZ,Valencia Airport,Ibiza Airport
29.0,VLC,IBZ,Valencia Airport,Ibiza Airport
45.0,VLC,LIS,Valencia Airport,Humberto Delgado Airport (Lisbon Portela Airport)
45.0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
58.0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
58.0,VLC,MAD,Valencia Airport,Adolfo Suárez Madrid–Barajas Airport
96.0,VLC,MAH,Valencia Airport,Menorca Airport
68.0,VLC,MAH,Valencia Airport,Menorca Airport
103.0,VLC,MXP,Valencia Airport,Malpensa International Airport
103.0,VLC,NTE,Valencia Airport,Nantes Atlantique Airport
103.0,VLC,ORY,Valencia Airport,Paris-Orly Airport
45.0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
103.0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
103.0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
96.0,VLC,PMI,Valencia Airport,Palma De Mallorca Airport
103.0,VLC,SDR,Valencia Airport,Santander Airport
103.0,VLC,STN,Valencia Airport,London Stansted Airport
97.0,VLC,VIT,Valencia Airport,Vitoria/Foronda Airport
93.0,VLC,ZRH,Valencia Airport,Zürich Airport
