f.incomeFromTurism,entrada.iata,salida.iata,entrada.airportName,salida.airportName
0,ACE,BCN,Lanzarote Airport,Barcelona International Airport
75332.00229243712,ACE,BGY,Lanzarote Airport,Milan Bergamo Airport
99414.35969636022,ACE,BJL,Lanzarote Airport,Banjul International Airport
92348.87467289517,ACE,BRS,Lanzarote Airport,Bristol Airport
99414.35969636022,ACE,DUB,Lanzarote Airport,Dublin Airport
99414.35969636022,ACE,DUB,Lanzarote Airport,Dublin Airport
83971.35236488677,ACE,DUB,Lanzarote Airport,Dublin Airport
92348.87467289517,ACE,EMA,Lanzarote Airport,East Midlands Airport
103107.96686779558,ACE,LGW,Lanzarote Airport,London Gatwick Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
85901.72828132096,ACE,LUX,Lanzarote Airport,Luxembourg-Findel International Airport
0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
0,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
92348.87467289517,ACE,MAN,Lanzarote Airport,Manchester Airport
99414.35969636022,ACE,ORK,Lanzarote Airport,Cork Airport
92348.87467289517,ACE,STN,Lanzarote Airport,London Stansted Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,TFN,Lanzarote Airport,Tenerife Norte Airport
0,ACE,VLC,Lanzarote Airport,Valencia Airport
0,ACE,VLC,Lanzarote Airport,Valencia Airport
78361.99054694647,AGP,AMS,Málaga Airport,Amsterdam Airport Schiphol
77715.42815956533,AGP,ARN,Málaga Airport,Stockholm-Arlanda Airport
83382.17812953363,AGP,ARN,Málaga Airport,Stockholm-Arlanda Airport
0,AGP,BCN,Málaga Airport,Barcelona International Airport
0,AGP,BCN,Málaga Airport,Barcelona International Airport
0,AGP,BCN,Málaga Airport,Barcelona International Airport
72792.71994751383,AGP,BFS,Málaga Airport,Belfast International Airport
59379.40625028877,AGP,BGY,Málaga Airport,Milan Bergamo Airport
72792.71994751383,AGP,BHX,Málaga Airport,Birmingham International Airport
0,AGP,BIO,Málaga Airport,Bilbao Airport
0,AGP,BIO,Málaga Airport,Bilbao Airport
83382.17812953363,AGP,BLL,Málaga Airport,Billund Airport
33502.44116097913,AGP,BOD,Málaga Airport,Bordeaux-Mérignac Airport
72792.71994751383,AGP,BOH,Málaga Airport,Bournemouth Airport
80166.12045943872,AGP,BRE,Málaga Airport,Bremen Airport
67845.64189282843,AGP,BRS,Málaga Airport,Bristol Airport
72792.71994751383,AGP,BRS,Málaga Airport,Bristol Airport
78361.99054694647,AGP,BRU,Málaga Airport,Brussels Airport
66189.2541513043,AGP,BRU,Málaga Airport,Brussels Airport
47927.1033275118,AGP,CDG,Málaga Airport,Charles de Gaulle International Airport
47927.1033275118,AGP,CDG,Málaga Airport,Charles de Gaulle International Airport
80166.12045943872,AGP,CGN,Málaga Airport,Cologne Bonn Airport
78361.99054694647,AGP,CMN,Málaga Airport,Mohammed V International Airport
77715.42815956533,AGP,CPH,Málaga Airport,Copenhagen Kastrup Airport
83382.17812953363,AGP,CPH,Málaga Airport,Copenhagen Kastrup Airport
78361.99054694647,AGP,CRL,Málaga Airport,Brussels South Charleroi Airport
78361.99054694647,AGP,DUB,Málaga Airport,Dublin Airport
78361.99054694647,AGP,DUB,Málaga Airport,Dublin Airport
66189.2541513043,AGP,DUB,Málaga Airport,Dublin Airport
72792.71994751383,AGP,EDI,Málaga Airport,Edinburgh Airport
78361.99054694647,AGP,EIN,Málaga Airport,Eindhoven Airport
78361.99054694647,AGP,EIN,Málaga Airport,Eindhoven Airport
72792.71994751383,AGP,EMA,Málaga Airport,East Midlands Airport
72792.71994751383,AGP,EMA,Málaga Airport,East Midlands Airport
20495.037655125256,AGP,FAB,Málaga Airport,Farnborough Airport
59379.40625028877,AGP,FCO,Málaga Airport,Leonardo da Vinci–Fiumicino Airport
80166.12045943872,AGP,FKB,Málaga Airport,Karlsruhe Baden-Baden Airport
80166.12045943872,AGP,FRA,Málaga Airport,Frankfurt am Main Airport
67845.64189282843,AGP,GLA,Málaga Airport,Glasgow International Airport
72792.71994751383,AGP,GLA,Málaga Airport,Glasgow International Airport
0,AGP,IBZ,Málaga Airport,Ibiza Airport
87491.5428436781,AGP,IST,Málaga Airport,Istanbul Airport
50884.23141962132,AGP,LGW,Málaga Airport,London Gatwick Airport
81273.42518411738,AGP,LGW,Málaga Airport,London Gatwick Airport
61485.11296537576,AGP,LHR,Málaga Airport,London Heathrow Airport
8368.756272003991,AGP,LIS,Málaga Airport,Humberto Delgado Airport (Lisbon Portela Airport)
34235.8211127436,AGP,LIS,Málaga Airport,Humberto Delgado Airport (Lisbon Portela Airport)
0,AGP,LPA,Málaga Airport,Gran Canaria Airport
67845.64189282843,AGP,LPL,Málaga Airport,Liverpool John Lennon Airport
61485.11296537576,AGP,LPL,Málaga Airport,Liverpool John Lennon Airport
72792.71994751383,AGP,LPL,Málaga Airport,Liverpool John Lennon Airport
72792.71994751383,AGP,LPL,Málaga Airport,Liverpool John Lennon Airport
61485.11296537576,AGP,LTN,Málaga Airport,London Luton Airport
61485.11296537576,AGP,LTN,Málaga Airport,London Luton Airport
72792.71994751383,AGP,LTN,Málaga Airport,London Luton Airport
0,AGP,MAD,Málaga Airport,Adolfo Suárez Madrid–Barajas Airport
0,AGP,MAD,Málaga Airport,Adolfo Suárez Madrid–Barajas Airport
0,AGP,MAD,Málaga Airport,Adolfo Suárez Madrid–Barajas Airport
67845.64189282843,AGP,MAN,Málaga Airport,Manchester Airport
72792.71994751383,AGP,MAN,Málaga Airport,Manchester Airport
72792.71994751383,AGP,MAN,Málaga Airport,Manchester Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
0,AGP,MLN,Málaga Airport,Melilla Airport
74717.93751559338,AGP,MUC,Málaga Airport,Munich Airport
66297.39532799232,AGP,MXP,Málaga Airport,Malpensa International Airport
72792.71994751383,AGP,NCL,Málaga Airport,Newcastle Airport
83382.17812953363,AGP,NYO,Málaga Airport,Stockholm Skavsta Airport
47927.1033275118,AGP,ORY,Málaga Airport,Paris-Orly Airport
83382.17812953363,AGP,OSL,Málaga Airport,Oslo Gardermoen Airport
0,AGP,OVD,Málaga Airport,Asturias Airport
72792.71994751383,AGP,PIK,Málaga Airport,Glasgow Prestwick Airport
0,AGP,PMI,Málaga Airport,Palma De Mallorca Airport
0,AGP,PMI,Málaga Airport,Palma De Mallorca Airport
0,AGP,PMI,Málaga Airport,Palma De Mallorca Airport
78361.99054694647,AGP,PRG,Málaga Airport,Václav Havel Airport Prague
0,AGP,SCQ,Málaga Airport,Santiago de Compostela Airport
72792.71994751383,AGP,SEN,Málaga Airport,Southend Airport
72792.71994751383,AGP,STN,Málaga Airport,London Stansted Airport
72792.71994751383,AGP,STN,Málaga Airport,London Stansted Airport
0,AGP,SVQ,Málaga Airport,Sevilla Airport
0,AGP,TFN,Málaga Airport,Tenerife Norte Airport
66189.2541513043,AGP,TNG,Málaga Airport,Ibn Batouta Airport
78361.99054694647,AGP,VIE,Málaga Airport,Vienna International Airport
70754.0302996701,AGP,ZRH,Málaga Airport,Zürich Airport
69891.73754824481,ALC,ABZ,Alicante International Airport,Aberdeen Dyce Airport
75239.0579856644,ALC,AMS,Alicante International Airport,Amsterdam Airport Schiphol
0,ALC,BCN,Alicante International Airport,Barcelona International Airport
69891.73754824481,ALC,BHX,Alicante International Airport,Birmingham International Airport
0,ALC,BIO,Alicante International Airport,Bilbao Airport
80059.17781657784,ALC,BLL,Alicante International Airport,Billund Airport
76971.28854989892,ALC,BRE,Alicante International Airport,Bremen Airport
65141.813637199055,ALC,BRS,Alicante International Airport,Bristol Airport
69891.73754824481,ALC,BRS,Alicante International Airport,Bristol Airport
75239.0579856644,ALC,BRU,Alicante International Airport,Brussels Airport
46017.081510751705,ALC,BVA,Alicante International Airport,Paris Beauvais Tillé Airport
59034.76860871164,ALC,CWL,Alicante International Airport,Cardiff International Airport
75239.0579856644,ALC,DUB,Alicante International Airport,Dublin Airport
69891.73754824481,ALC,EDI,Alicante International Airport,Edinburgh Airport
75239.0579856644,ALC,EIN,Alicante International Airport,Eindhoven Airport
75239.0579856644,ALC,EIN,Alicante International Airport,Eindhoven Airport
69891.73754824481,ALC,EMA,Alicante International Airport,East Midlands Airport
3392.802793604117,ALC,EMA,Alicante International Airport,East Midlands Airport
76971.28854989892,ALC,FKB,Alicante International Airport,Karlsruhe Baden-Baden Airport
76971.28854989892,ALC,FMM,Alicante International Airport,Memmingen Allgau Airport
65141.813637199055,ALC,GLA,Alicante International Airport,Glasgow International Airport
69891.73754824481,ALC,GLA,Alicante International Airport,Glasgow International Airport
4382.857746737733,ALC,INN,Alicante International Airport,Innsbruck Airport
75239.0579856644,ALC,KUN,Alicante International Airport,Kaunas International Airport
0,ALC,LEI,Alicante International Airport,Almería International Airport
65141.813637199055,ALC,LGW,Alicante International Airport,London Gatwick Airport
59034.76860871164,ALC,LGW,Alicante International Airport,London Gatwick Airport
69891.73754824481,ALC,LGW,Alicante International Airport,London Gatwick Airport
59034.76860871164,ALC,LPL,Alicante International Airport,Liverpool John Lennon Airport
69891.73754824481,ALC,LPL,Alicante International Airport,Liverpool John Lennon Airport
65141.813637199055,ALC,LTN,Alicante International Airport,London Luton Airport
69891.73754824481,ALC,LTN,Alicante International Airport,London Luton Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
0,ALC,MAD,Alicante International Airport,Adolfo Suárez Madrid–Barajas Airport
65141.813637199055,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,MAN,Alicante International Airport,Manchester Airport
69891.73754824481,ALC,NCL,Alicante International Airport,Newcastle Airport
75239.0579856644,ALC,ORK,Alicante International Airport,Cork Airport
80059.17781657784,ALC,OSL,Alicante International Airport,Oslo Gardermoen Airport
63551.43732769712,ALC,OTP,Alicante International Airport,Henri Coandă International Airport
75239.0579856644,ALC,PED,Alicante International Airport,Pardubice Airport
69891.73754824481,ALC,PIK,Alicante International Airport,Glasgow Prestwick Airport
0,ALC,PMI,Alicante International Airport,Palma De Mallorca Airport
0,ALC,PMI,Alicante International Airport,Palma De Mallorca Airport
65012.38990994303,ALC,RTM,Alicante International Airport,Rotterdam The Hague Airport
0,ALC,SDR,Alicante International Airport,Santander Airport
63551.43732769712,ALC,SOF,Alicante International Airport,Sofia Airport
69891.73754824481,ALC,STN,Alicante International Airport,London Stansted Airport
3392.802793604117,ALC,STN,Alicante International Airport,London Stansted Airport
69891.73754824481,ALC,STN,Alicante International Airport,London Stansted Airport
0,ALC,TFN,Alicante International Airport,Tenerife Norte Airport
0,ALC,VIT,Alicante International Airport,Vitoria/Foronda Airport
80059.17781657784,ALC,VXO,Alicante International Airport,Växjö Kronoberg Airport
0,BCN,ACE,Barcelona International Airport,Lanzarote Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,AGP,Barcelona International Airport,Málaga Airport
0,BCN,ALC,Barcelona International Airport,Alicante International Airport
71499.939726712,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
82747.12125675658,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
71499.939726712,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
57842.64786880072,BCN,AMS,Barcelona International Airport,Amsterdam Airport Schiphol
82064.37729000355,BCN,ARN,Barcelona International Airport,Stockholm-Arlanda Airport
134966.178360535,BCN,AUH,Barcelona International Airport,Abu Dhabi International Airport
62702.27306442916,BCN,BGY,Barcelona International Airport,Milan Bergamo Airport
76866.1947209911,BCN,BHX,Barcelona International Airport,Birmingham International Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
0,BCN,BIO,Barcelona International Airport,Bilbao Airport
62702.27306442916,BCN,BLQ,Barcelona International Airport,Bologna Guglielmo Marconi Airport
