sir,aeropuertoLlegada,aeropuertoSalida,entrada.airportName,salida.airportName
1.4641269686939529,ACE,BCN,Lanzarote Airport,Barcelona International Airport
0.531127476266426,ACE,BGY,Lanzarote Airport,Milan Bergamo Airport
0.153504729510588,ACE,BJL,Lanzarote Airport,Banjul International Airport
0.6461230105922705,ACE,BRS,Lanzarote Airport,Bristol Airport
0.7253641708054626,ACE,DUB,Lanzarote Airport,Dublin Airport
0.7264323214806014,ACE,DUB,Lanzarote Airport,Dublin Airport
0.6112619416899966,ACE,DUB,Lanzarote Airport,Dublin Airport
0.6480147018438963,ACE,EMA,Lanzarote Airport,East Midlands Airport
0.7234076831679603,ACE,LGW,Lanzarote Airport,London Gatwick Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.6812042236549105,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.6812042236549105,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.6812042236549105,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.6812042236549105,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.6812042236549105,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
0.682190908501217,ACE,LPA,Lanzarote Airport,Gran Canaria Airport
1.1837496264249396,ACE,LUX,Lanzarote Airport,Luxembourg-Findel International Airport
1.5726433121040237,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
1.75817988263315,ACE,MAD,Lanzarote Airport,Adolfo Suárez Madrid–Barajas Airport
0.6470681789140551,ACE,MAN,Lanzarote Airport,Manchester Airport
